[2026-03-28T01:00:32.571Z] GET http://localhost:5173/node_modules/.vite/deps/vue.js?v=43e7f08c → 200 (?ms, 25891B)
[2026-03-28T01:00:32.572Z] GET http://localhost:5173/node_modules/.vite/deps/pinia.js?v=43e7f08c → 200 (?ms, 152273B)
[2026-03-28T01:00:32.572Z] GET http://localhost:5173/src/App.vue → 200 (2ms, 2688B)
[2026-03-28T01:00:32.572Z] GET http://localhost:5173/src/router/index.ts?t=1774658764060 → 200 (5ms, 25451B)
[2026-03-28T01:00:32.572Z] GET http://localhost:5173/src/assets/styles/tokens.css?t=1774658764060 → 200 (5ms, 143353B)
[2026-03-28T01:00:32.572Z] GET http://localhost:5173/node_modules/.vite/deps/vue.runtime.esm-bundler-Cg9CpxwA.js?v=43e7f08c → 200 (?ms, 321650B)
[2026-03-28T01:00:32.574Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (3ms, 3895B)
[2026-03-28T01:00:32.577Z] GET http://localhost:5173/src/stores/theme.ts → 200 (4ms, 2377B)
[2026-03-28T01:00:32.577Z] GET http://localhost:5173/src/components/ui/WxToast.vue → 200 (4ms, 9327B)
[2026-03-28T01:00:32.577Z] GET http://localhost:5173/@id/__x00__plugin-vue:export-helper → 200 (4ms, 1074B)
[2026-03-28T01:00:32.577Z] GET http://localhost:5173/node_modules/.vite/deps/vue-router.js?v=43e7f08c → 200 (1ms, 105451B)
[2026-03-28T01:00:32.581Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-vue-next.js?v=43e7f08c → 200 (?ms, 1243293B)
[2026-03-28T01:00:32.581Z] GET http://localhost:5173/src/composables/useToast.ts → 200 (3ms, 2015B)
[2026-03-28T01:00:32.581Z] GET http://localhost:5173/src/components/ui/WxToast.vue?vue&type=style&index=0&scoped=10b2b8a4&lang.css → 200 (3ms, 1011B)
[2026-03-28T01:00:32.582Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, ?B)
[2026-03-28T01:00:32.585Z] GET http://localhost:5173/src/stores/toast.ts → 200 (?ms, 2559B)
[2026-03-28T01:00:32.596Z] GET http://localhost:5173/src/layouts/AuthLayout.vue → pending (?ms, ?B)
[2026-03-28T01:00:32.596Z] GET http://localhost:5173/src/views/auth/LoginView.vue?t=1774658715866 → pending (?ms, ?B)
[2026-03-28T01:00:32.644Z] GET http://localhost:5173/src/components/ui/WxInput.vue → 200 (2ms, 8734B)
[2026-03-28T01:00:32.644Z] GET http://localhost:5173/src/components/ui/WxPasswordInput.vue → 200 (3ms, 11277B)
[2026-03-28T01:00:32.644Z] GET http://localhost:5173/src/components/ui/WxCheckbox.vue → 200 (4ms, 8182B)
[2026-03-28T01:00:32.644Z] GET http://localhost:5173/src/components/ui/WxButton.vue → 200 (4ms, 9045B)
[2026-03-28T01:01:05.223Z] GET http://localhost:5173/forms/general → 200 (4ms, 740B)
[2026-03-28T01:01:05.243Z] GET http://localhost:5173/@vite/client → 200 (10ms, 204467B)
[2026-03-28T01:01:05.244Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800;900&family=JetBrains+Mono:wght@400;500;600;700&display=swap → 200 (?ms, 27241B)
[2026-03-28T01:01:05.244Z] GET http://localhost:5173/src/main.ts?t=1774658764060 → 200 (1ms, 1114B)
[2026-03-28T01:01:05.247Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, ?B)
[2026-03-28T01:01:05.251Z] GET http://localhost:5173/node_modules/.vite/deps/vue.js?v=43e7f08c → 200 (?ms, 25891B)
[2026-03-28T01:01:05.252Z] GET http://localhost:5173/node_modules/.vite/deps/pinia.js?v=43e7f08c → 200 (?ms, 152273B)
[2026-03-28T01:01:05.252Z] GET http://localhost:5173/src/App.vue → 200 (6ms, 2688B)
[2026-03-28T01:01:05.253Z] GET http://localhost:5173/src/router/index.ts?t=1774658764060 → 200 (6ms, 25451B)
[2026-03-28T01:01:05.253Z] GET http://localhost:5173/src/assets/styles/tokens.css?t=1774658764060 → 200 (11ms, 143353B)
[2026-03-28T01:01:05.253Z] GET http://localhost:5173/node_modules/.vite/deps/vue.runtime.esm-bundler-Cg9CpxwA.js?v=43e7f08c → 200 (?ms, 321650B)
[2026-03-28T01:01:05.254Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (4ms, 3895B)
[2026-03-28T01:01:05.258Z] GET http://localhost:5173/src/stores/theme.ts → 200 (6ms, 2377B)
[2026-03-28T01:01:05.258Z] GET http://localhost:5173/src/components/ui/WxToast.vue → 200 (6ms, 9327B)
[2026-03-28T01:01:05.258Z] GET http://localhost:5173/@id/__x00__plugin-vue:export-helper → 200 (6ms, 1074B)
[2026-03-28T01:01:05.263Z] GET http://localhost:5173/node_modules/.vite/deps/vue-router.js?v=43e7f08c → 200 (?ms, 105451B)
[2026-03-28T01:01:05.264Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-vue-next.js?v=43e7f08c → 200 (?ms, 1243293B)
[2026-03-28T01:01:05.264Z] GET http://localhost:5173/src/composables/useToast.ts → 200 (1ms, 2015B)
[2026-03-28T01:01:05.265Z] GET http://localhost:5173/src/components/ui/WxToast.vue?vue&type=style&index=0&scoped=10b2b8a4&lang.css → 200 (?ms, 1011B)
[2026-03-28T01:01:05.265Z] GET http://localhost:5173/src/stores/toast.ts → 200 (2ms, 2559B)
[2026-03-28T01:01:05.275Z] GET http://localhost:5173/src/layouts/DefaultLayout.vue?t=1774658011316 → 200 (31ms, 18393B)
[2026-03-28T01:01:05.276Z] GET http://localhost:5173/src/views/forms/GeneralView.vue → 200 (30ms, 54999B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/stores/sidebar.ts → 200 (4ms, 4003B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/stores/ui.ts → 200 (5ms, 4362B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxSideNav.vue → 200 (9ms, 45362B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxThemeToggle.vue → 200 (9ms, 4678B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxNotificationDropdown.vue?t=1774657997574 → 200 (14ms, 13552B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxMessageDropdown.vue?t=1774658005341 → 200 (15ms, 13282B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxUserMenu.vue?t=1774658011316 → 200 (15ms, 11522B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxFooter.vue → 200 (26ms, 2862B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/layout/WxRightSidePanel.vue → 200 (25ms, 19953B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/layouts/DefaultLayout.vue?vue&type=style&index=0&scoped=75d0be1e&lang.css → 200 (27ms, 795B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/ui/WxPageHeader.vue → 200 (27ms, 4516B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/ui/WxButton.vue → 200 (27ms, 9045B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/ui/WxInput.vue → 200 (28ms, 8734B)
[2026-03-28T01:01:05.307Z] GET http://localhost:5173/src/components/ui/WxPasswordInput.vue → 200 (28ms, 11277B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxTextarea.vue → 200 (14ms, 5563B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxInputNumber.vue → 200 (24ms, 10927B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxSelect.vue → 200 (25ms, 11678B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxMultiSelect.vue → 200 (25ms, 15872B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxDropdown.vue → 200 (25ms, 6287B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxSwitch.vue → 200 (26ms, 7099B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxRadio.vue → 200 (26ms, 6238B)
